Name,Team,W,L,SV,G,GS,IP,K%,BB%,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,ERA-,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
Miguel Rojas,LAD,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.04347826,0.0,2.25,4.5,0.3684210526315789,0.6097561,0.428571428,0.285714285,60.19000244140625,13.5,325.1203097485199,9.21677687980716,11.080963802337646,7.238766270503402,-0.12869521975517273,Miguel Rojas,7802,500743
Jacob Waguespack,DET,1.0,1.0,0.0,20.0,0.0,27.0,0.15384615,0.08653846,5.333334463614245,3.0000006357830125,1.3333336159035611,0.12162162162162163,0.97701149,0.486842105,0.137931034,92.8491124260355,1.6666670198794513,39.96264018731238,2.62297153547457,4.932816046648148,4.638133901166319,-0.13186652958393097,Jacob Waguespack,18318,621097
Max Kranick,WSN,0.0,0.0,0.0,11.0,0.0,11.2,0.12280702,0.10526316,5.400000735691716,4.628572059164328,1.542857353054776,0.34146341463414637,0.69306931,0.309523809,0.1,95.30465343386628,6.942858088746491,166.38147857333468,5.602976962225353,5.909535616271402,6.2845258402568325,-0.13300994038581848,Max Kranick,22175,668820
Josh White,MIA,0.0,0.0,0.0,1.0,0.0,0.2,0.125,0.5,13.500014081612017,54.00005632644807,13.500014081612017,0.0,0.2173913,0.0,0.5,94.38636363636364,67.50007040806008,1595.732760803867,45.18657060738409,42.08100448255014,27.137221697539875,-0.13404837250709534,Josh White,31738,687985
PJ Poulin,WSN,3.0,0.0,3.0,35.0,11.0,36.2,0.16339869,0.1372549,6.136365019585787,5.154546616452062,0.9818184031337259,0.22549019607843138,0.85253456,0.46226415,0.093023255,90.13386398396165,2.7000006086177466,64.70391410403019,5.395940859687977,4.935509674923573,5.298400761365226,-0.13527485728263855,PJ Poulin,23394,676571
TJ Shook,COL,0.0,0.0,0.0,4.0,0.0,5.2,0.22222222,0.03703704,9.529412833877208,1.588235472312868,4.764706416938604,0.4117647058823529,0.73529412,0.3,0.375,92.12222222222222,9.529412833877208,200.73493652468932,6.278226072676853,8.37508204338054,3.6368381247379444,-0.13649185001850128,TJ Shook,27567,669298
Alex Jackson,MIN,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.1,0.0,4.5,9.0,0.14285714285714285,0.83333333,0.333333333,0.333333333,75.5,13.5,322.0729103851477,1.9196779327791658,17.580963802337646,9.137196604907512,-0.13654857873916626,Alex Jackson,17276,656577
Woo Suk Go,MIN,0.0,0.0,0.0,4.0,0.0,4.0,0.22727273,0.09090909,11.25,4.5,4.5,0.46153846153846156,0.83333333,0.466666666,0.4,94.47353228400735,9.0,214.71527359009843,6.670658444497945,8.580963802337646,3.9793941367417576,-0.1410854309797287,Woo Suk Go,33827,808970
Easton McGee,- - -,0.0,0.0,0.0,6.0,0.0,7.1,0.2,0.11428571,8.590909463314986,4.909091121894278,2.454545560947139,0.45454545454545453,0.68181818,0.416666666,0.2,92.52500261579242,8.590909463314986,200.47491913448437,5.988920227166968,6.353691216933832,4.879251517823077,-0.1417008861899376,Easton McGee,22176,668834
Evan Phillips,LAD,0.0,2.0,0.0,15.0,0.0,12.0,0.23076923,0.05769231,9.000002145767724,2.250000536441931,3.000000715255908,0.2727272727272727,0.76923077,0.351351351,0.2,96.7841603496287,5.250001251697839,126.43570615793473,4.930344033009179,6.1642978707951075,4.362204553681394,-0.14194324612617493,Evan Phillips,17734,623465
Michael Kelly,ATH,0.0,0.0,0.0,5.0,0.0,5.0,0.1875,0.1875,10.800002059936917,10.800002059936917,1.8000003433228193,0.5789473684210527,0.54216867,0.25,0.166666666,95.87037037037037,16.200003089905376,378.76168010489965,9.056416511083897,6.880964527130265,6.103457499860515,-0.14498330652713776,Michael Kelly,12791,547184
George Soriano,STL,6.0,3.0,2.0,55.0,0.0,53.1,0.23348018,0.10132159,8.943751492649566,3.881250647753585,1.5187502534687942,0.25,0.81560284,0.414965986,0.15,96.5511703491211,3.712500619590386,90.91552808786922,4.461812749971692,4.693464071452663,4.208301291446088,-0.14636579155921936,George Soriano,21863,666277
George Klassen,LAA,1.0,1.0,0.0,4.0,4.0,14.2,0.18421053,0.19736842,8.590909463314986,9.204545853551771,1.2272727804735695,0.3181818181818182,0.75342466,0.568181818,0.153846153,96.39370078740157,5.522727512131063,131.21155608899997,6.594061575312719,6.2173275746589916,5.79075997510888,-0.14754262566566467,George Klassen,33464,691946
Christian Roa,HOU,0.0,1.0,0.0,7.0,0.0,8.2,0.13953488,0.1627907,6.230771059115794,7.269232902301759,1.0384618431859656,0.34615384615384615,0.80645161,0.333333333,0.076923076,96.01555989583333,5.1923092159298285,125.53026705928832,7.9663616734645295,6.657887928867083,7.4360045584812005,-0.1496542990207672,Christian Roa,27662,685005
Angel Zerpa,MIL,0.0,2.0,2.0,12.0,0.0,12.2,0.14545455,0.10909091,5.68421166755509,4.263158750666317,1.4210529168887724,0.358974358974359,0.57291667,0.575,0.222222222,95.39091352982955,6.394738125999476,154.38777725889958,7.527499380334302,5.291490561942403,4.31796655656688,-0.14987561106681824,Angel Zerpa,22717,672582
Mason Englert,TBR,0.0,3.0,1.0,14.0,3.0,35.2,0.20382166,0.05095541,8.074766930893295,2.018691732723324,2.2710281993137396,0.31775700934579443,0.83756345,0.307017543,0.173076923,92.83564501469678,4.542056398627479,108.2278883961906,5.733263522202708,5.323954616474673,4.257824687499974,-0.1507733091711998,Mason Englert,22288,669438
Josh Fleming,TOR,0.0,0.0,0.0,1.0,0.0,3.0,0.05555556,0.11111111,3.0,6.0,3.0,0.38461538461538464,0.65789474,0.642857142,0.25,,12.0,290.19676016369544,11.16733398451023,9.747630469004314,7.439289492368699,-0.15131504833698273,Josh Fleming,20418,676596
Alex Lange,KCR,2.0,7.0,10.0,46.0,0.0,47.2,0.23611111,0.12037037,9.629371913746109,4.9090915638705654,1.1328672839701304,0.3359375,0.62849162,0.443609022,0.122448979,95.84255526928192,6.230770061835718,145.39940499036342,5.072794521946557,4.528516442966147,4.453379421237464,-0.15664084255695343,Alex Lange,19883,656638
Max Lazar,PHI,0.0,0.0,0.0,6.0,0.0,8.0,0.14285714,0.08571429,5.625000670552334,3.3750004023314,3.3750004023314,0.20833333333333334,0.88235294,0.518518518,0.3,94.56956946331522,5.625000670552334,132.62268331111568,4.62834898380162,7.8309643685818395,4.854394348151153,-0.1586798131465912,Max Lazar,23426,676661
Antwone Kelly,PIT,0.0,0.0,0.0,3.0,0.0,7.1,0.125,0.125,4.909091121894278,4.909091121894278,2.454545560947139,0.2727272727272727,0.76086957,0.52173913,0.285714285,98.89853084788604,6.136363902367847,144.28908662786714,5.118141826528899,7.171873070582879,5.07612887146159,-0.16083914041519165,Antwone Kelly,29000,699008
Yovanny Cruz,- - -,0.0,1.0,0.0,9.0,0.0,8.1,0.24390244,0.14634146,10.80000164794947,6.480000988769683,1.080000164794947,0.43478260869565216,0.72289157,0.333333333,0.1,100.03333237591912,6.480000988769683,155.66366911778323,5.250467821809574,4.7609640586853414,5.023457219766566,-0.16201265156269073,Yovanny Cruz,22622,672442
Hunter Harvey,CHC,0.0,1.0,0.0,4.0,0.0,4.0,0.22222222,0.05555556,9.000002145767724,2.250000536441931,4.500001072883862,0.2727272727272727,0.9375,0.461538461,0.333333333,96.73684210526316,6.750001609325793,164.6982326063935,5.094845741696382,8.330965054035484,4.10908044874469,-0.16410106420516968,Hunter Harvey,15507,640451
Nick Davila,SEA,0.0,0.0,1.0,22.0,0.0,24.2,0.10784314,0.10784314,4.013513927306503,4.013513927306503,0.7297298049648187,0.21333333333333335,0.68493151,0.506493506,0.074074074,94.80217179008152,4.013513927306503,103.19443405528791,4.7727209318732875,4.945828859469961,5.55418413393981,-0.1645260900259018,Nick Davila,27741,689546
